mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_119938,CN1C(CCO)C1C#N,2.53141,0.96859,0.85555,4.2807,76.97,-0.2483,0.0137,0.2621,1417.5443,0.157817,-419.178754,-419.168776,-419.167832,-419.214211,35.238
gdb_29238,Cc1c[nH]c(=O)[nH]c1=O,3.20844,1.4001,0.9806,4.027,70.99,-0.2402,-0.0354,0.2048,1132.0629,0.114793,-454.057874,-454.050014,-454.04907,-454.090379,29.25
gdb_118356,CCOC(C=O)C1CN1,1.79964,1.28936,0.83151,2.8713,77.14,-0.2433,-0.035,0.2082,1428.9795,0.168664,-440.254366,-440.244294,-440.243349,-440.290595,35.084
gdb_16321,COC12CC1OC2=N,3.25245,2.07265,1.45864,2.1158,62.84,-0.2572,0.0149,0.2721,860.898,0.117766,-399.748145,-399.740689,-399.739744,-399.780079,27.333
gdb_18556,O=C1CC2CCCC12,3.51722,1.96911,1.57502,2.8332,70.74,-0.2349,-0.0193,0.2156,861.6285,0.155498,-347.833604,-347.826716,-347.825771,-347.864938,27.019
gdb_70668,CC12OC1CNC2C=O,2.52714,1.5665,1.14772,3.6923,72.04,-0.2301,-0.0244,0.2057,1090.2583,0.146554,-439.076867,-439.068258,-439.067314,-439.110496,31.827
gdb_77689,CC1(C)OC2(CC2)C1O,2.50338,1.39073,1.19079,0.4784,78.91,-0.2293,0.0663,0.2956,1171.9076,0.179538,-424.203441,-424.193732,-424.192787,-424.237588,37.202
gdb_18447,CC1CC2C1N2C=O,6.61924,1.19442,1.09881,3.7696,71.4,-0.2399,0.0043,0.2442,1089.2292,0.141654,-363.839281,-363.83163,-363.830686,-363.871296,28.294
gdb_62068,CC(OCC1CC1)C=O,4.33699,0.67783,0.61106,2.8976,80.56,-0.2521,-0.0259,0.2262,1831.9723,0.179282,-424.212717,-424.202381,-424.201437,-424.249674,36.229
gdb_2906,O=CC1CCC=C1,6.64514,1.78669,1.50926,2.988,63.37,-0.2421,-0.0253,0.2167,798.2111,0.125598,-308.540101,-308.533481,-308.532536,-308.571329,23.742
